,long,lat
12013,5.0859253,52.0671314
12015,5.0856015,52.0678525
405,5.0855571,52.0678968
10307,5.0848958,52.0681375
12016,5.0843604,52.0682201
10308,5.0858331,52.0684611
1054,5.0894435,52.0651411
19705,5.0895768,52.0661695
407,5.0891828,52.0673331
12014,5.0891778,52.0673727
20776,5.0914011,52.0685946
20703,5.0913812,52.0686168
20778,5.0913945,52.068954
25002,5.0912999,52.0691408
13271,5.0904391,52.0696056
11189,5.0903243,52.0700292
1059,5.0885994,52.0648783
398,5.0861862,52.0649307
408,5.0881189,52.066986
12012,5.0882089,52.0670169
404,5.0883451,52.0683482
12017,5.0883776,52.0684024
12020,5.0863543,52.0686902
13374,5.0889023,52.0720076
25828,5.0889272,52.0720175
7307,5.0880589,52.0723541
11190,5.0901096,52.0700885
20789,5.0900843,52.070116
13296,5.0906938,52.0704112
24923,5.0916381,52.070539
24922,5.0916216,52.0705567
25007,5.0901041,52.0706951
25006,5.0900473,52.0707582
21553,5.0894668,52.0710801
25001,5.0898898,52.0711835
13328,5.0897066,52.0711979
13299,5.092383,52.0705353
215,5.0917092,52.0707809
25580,5.0937174,52.0709142
25579,5.0938768,52.0709678
25578,5.0939221,52.0709831
25584,5.0925195,52.0710698
25583,5.0925459,52.0710797
25582,5.0929487,52.0710855
25581,5.0929798,52.0710953
22211,5.0936833,52.072485
1066,5.0843328,52.0684721
10309,5.0858742,52.0684761
12018,5.085814,52.0684922
12019,5.0858643,52.0685274
23235,5.0830312,52.0696386
23236,5.0832296,52.0696545
23234,5.0830523,52.0696689
12023,5.0860517,52.0705981
1328,5.0859683,52.0748097
1352,5.0859599,52.074812
10310,5.0898642,52.0712159
21552,5.0894584,52.0717974
25823,5.08997,52.0724714
25822,5.0899992,52.0724807
25825,5.0901223,52.0725274
25824,5.0901506,52.0725367
25687,5.0910646,52.0728445
25686,5.0913518,52.0729448
25827,5.0891828,52.0735388
25826,5.089164,52.0735579
20906,5.0879319,52.0727666
20907,5.0879829,52.0727856
24480,5.0882186,52.0731947
24481,5.0882672,52.0732152
