ID,Traffico,no_existing_chg,mixed_use_area_per_cell,centroid_x,centroid_y,Colore
197,0,0,36083.178,383924.9038105677,399521,lightcyan
198,0,0,nan,383795.0,399744,lightcyan
199,0,0,52796.219000000005,383924.9038105677,399967,lightcyan
200,0,0,nan,383795.0,400190,lightcyan
201,12586,0,37154.404,383924.9038105677,400413,lightskyblue
202,0,0,nan,383795.0,400636,lightcyan
203,0,0,2625.7940000000003,383924.9038105677,400859,lightcyan
204,0,0,nan,384054,393500,lightcyan
205,0,0,nan,384183.9038105677,393723,lightcyan
206,0,0,0.0,384054.0,393946,lightcyan
207,0,0,nan,384183.9038105677,394169,lightcyan
208,0,0,0.0,384054.0,394392,lightcyan
209,0,0,nan,384183.9038105677,394615,lightcyan
210,0,0,58995.79,384054.0,394838,lightcyan
211,0,0,nan,384183.9038105677,395061,lightcyan
212,0,0,nan,384054.0,395284,lightcyan
213,0,0,nan,384183.9038105677,395507,lightcyan
214,0,0,nan,384054.0,395730,lightcyan
215,0,0,nan,384183.9038105677,395953,lightcyan
216,0,0,nan,384054.0,396176,lightcyan
217,0,0,nan,384183.9038105677,396399,lightcyan
218,0,0,nan,384054.0,396622,lightcyan
219,0,2,nan,384183.9038105677,396845,lightcyan
220,0,3,nan,384054.0,397068,lightcyan
221,77528,4,nan,384183.9038105677,397291,darkblue
222,0,0,nan,384054.0,397514,lightcyan
223,8679,1,nan,384183.9038105677,397737,lightskyblue
224,6622,0,129410.021,384054.0,397960,lightskyblue
225,0,0,nan,384183.9038105677,398183,lightcyan
226,0,0,162137.984,384054.0,398406,lightcyan
227,0,0,nan,384183.9038105677,398629,lightcyan
228,2862,0,25139.742000000002,384054.0,398852,lightskyblue
229,24960,0,nan,384183.9038105677,399075,deepskyblue
230,26983,0,nan,384054.0,399298,deepskyblue
231,0,0,nan,384183.9038105677,399521,lightcyan
232,0,0,nan,384054.0,399744,lightcyan
233,15930,0,nan,384183.9038105677,399967,deepskyblue
234,0,0,nan,384054.0,400190,lightcyan
235,0,0,nan,384183.9038105677,400413,lightcyan
236,0,0,nan,384054.0,400636,lightcyan
237,2185,0,nan,384183.9038105677,400859,lightskyblue
238,0,0,nan,384313,393500,lightcyan
239,8479,0,nan,384442.9038105677,393723,lightskyblue
240,0,0,0.0,384313.0,393946,lightcyan
241,0,0,nan,384442.9038105677,394169,lightcyan
242,0,0,0.0,384313.0,394392,lightcyan
243,0,0,nan,384442.9038105677,394615,lightcyan
244,0,0,73542.16900000001,384313.0,394838,lightcyan
245,0,0,nan,384442.9038105677,395061,lightcyan
246,6559,0,nan,384313.0,395284,lightskyblue
247,407,0,146584.149,384442.9038105677,395507,lightskyblue
248,0,0,nan,384313.0,395730,lightcyan
249,0,0,24858.966,384442.9038105677,395953,lightcyan
250,0,0,nan,384313.0,396176,lightcyan
251,0,0,3202.535,384442.9038105677,396399,lightcyan
