,longitude,latitude
11832,-2.2488615,53.4786237
551,-2.2495294,53.4786625
529,-2.2491324,53.4787806
11913,-2.249445,53.478847
577,-2.2500428,53.4789336
11912,-2.2493758,53.4789712
530,-2.2489636,53.4789836
12066,-2.2499252,53.4790216
7882,-2.250152,53.4790462
8333,-2.2493311,53.4790523
8173,-2.2468435,53.4790632
7848,-2.2543168,53.4783761
7852,-2.250597,53.4783773
4147,-2.2519955,53.4785239
5084,-2.251089,53.4786952
13071,-2.2528022,53.4787775
8594,-2.2526573,53.478951
7881,-2.2528384,53.4790688
9946,-2.2571118,53.4792003
574,-2.2525693,53.4794181
7878,-2.2512075,53.4795019
11828,-2.2480829,53.4790761
7628,-2.2470096,53.4790944
2575,-2.2501314,53.4790977
11826,-2.2471828,53.4791231
11827,-2.2472977,53.4791376
572,-2.2501179,53.4791775
3136,-2.2488707,53.4791895
716,-2.2487982,53.4793147
11911,-2.2491737,53.479368
717,-2.2470493,53.4794398
531,-2.2486947,53.4794691
549,-2.2490474,53.479493
11825,-2.2472963,53.479498
13074,-2.249802,53.479567
550,-2.2497324,53.479613
4877,-2.2499367,53.4796395
532,-2.2485926,53.4796409
3349,-2.2471863,53.4796594
533,-2.2481949,53.479748
11517,-2.2468192,53.4797602
13241,-2.254643,53.479529
7879,-2.2508132,53.4796439
12522,-2.252979,53.4796675
7880,-2.251693,53.4796902
4226,-2.2538061,53.4797172
8771,-2.2532386,53.4797376
4224,-2.2536709,53.4797749
2569,-2.2514631,53.4797873
575,-2.2518611,53.4797928
576,-2.2527523,53.4799058
11516,-2.2468814,53.4797649
11514,-2.2473634,53.4797869
11515,-2.2474445,53.4798084
11513,-2.2473859,53.4798197
2191,-2.2484615,53.4798379
11512,-2.2474391,53.4798406
5125,-2.2485748,53.4798571
3210,-2.2492906,53.4798955
3211,-2.2493488,53.4799049
11511,-2.2481303,53.4799685
4225,-2.2533319,53.4799346
7913,-2.2529778,53.4800957
10067,-2.2508806,53.4801086
13316,-2.2510532,53.4801234
7205,-2.2513606,53.4801809
9945,-2.2515012,53.4802617
5943,-2.250743,53.4803275
2588,-2.2549693,53.4804646
13317,-2.2508338,53.4805664
6852,-2.2547277,53.4806183
11510,-2.2481569,53.4799716
2192,-2.2490558,53.4800243
2570,-2.2493992,53.4800796
573,-2.2495925,53.480371
10503,-2.2470756,53.4804972
548,-2.2484397,53.4805334
12256,-2.2478992,53.4806294
571,-2.2478373,53.480664
10502,-2.2473184,53.4807514
11762,-2.2474554,53.4807803
5085,-2.2484938,53.4808177
11899,-2.2485644,53.4808275
11900,-2.2486803,53.4808481
123,-2.2477797,53.4808615
5086,-2.2487889,53.4808637
5087,-2.2489203,53.4808844
8804,-2.2490633,53.4809122
11763,-2.2477618,53.4809176
5088,-2.2488931,53.4809302
5089,-2.2492531,53.4809502
11765,-2.2472587,53.4809555
11764,-2.247741,53.4809644
8002,-2.2481521,53.4809876
2065,-2.2495004,53.4809916
8867,-2.2474126,53.4810238
534,-2.2476813,53.4810356
5100,-2.2487107,53.4810411
547,-2.2480503,53.4810425
10521,-2.2499137,53.4810499
5099,-2.2488336,53.4810578
6854,-2.254543,53.4807996
6853,-2.2539664,53.480881
10063,-2.253345,53.4808934
13230,-2.251084,53.481026
7200,-2.2544207,53.4810519
6666,-2.2542625,53.4810846
7221,-2.2508128,53.4810915
12049,-2.2537425,53.4811162
7614,-2.2508855,53.4811865
12064,-2.256128,53.4812742
11901,-2.2500054,53.4810667
5098,-2.2489553,53.481079
10520,-2.2501377,53.4810814
8858,-2.2501927,53.4810934
8368,-2.250371,53.4811148
5095,-2.2495564,53.4811189
5097,-2.2492502,53.4811248
11766,-2.2474617,53.4811307
8369,-2.2505431,53.481133
5096,-2.249362,53.4811433
8809,-2.2629298,53.4794287
8935,-2.2673504,53.4794796
8934,-2.2673679,53.4795562
3052,-2.2631938,53.4817989
12295,-2.264209,53.4826243
12294,-2.2641339,53.4827208
5653,-2.2642316,53.4827255
13085,-2.258155,53.482743
13112,-2.2621105,53.4827655
12293,-2.2639531,53.482848
6664,-2.2494495,53.4811549
5101,-2.2486884,53.4811618
5094,-2.2495277,53.4811678
5093,-2.2496845,53.4811902
5092,-2.2497346,53.4811976
5938,-2.2497922,53.4812055
11769,-2.2468019,53.4812387
11768,-2.246939,53.4812483
11767,-2.2475513,53.4812607
5090,-2.2498322,53.4812706
7996,-2.2500145,53.4812754
7995,-2.2500905,53.4812883
7997,-2.2501032,53.4812955
5102,-2.2494889,53.4812973
7994,-2.2501657,53.4813029
5110,-2.247754,53.4813238
5937,-2.2498035,53.4813399
546,-2.2478771,53.4813428
7990,-2.2499876,53.4813561
7989,-2.2500959,53.4813727
5103,-2.2495178,53.4813874
7992,-2.2501824,53.4814033
11786,-2.2470819,53.4814132
4998,-2.2482189,53.4814168
5091,-2.2496991,53.4814276
7993,-2.2501683,53.4814296
7988,-2.249977,53.4814309
7987,-2.2500729,53.4814467
7991,-2.2501529,53.4814548
11787,-2.2473489,53.4814562
4995,-2.2486098,53.4814765
5104,-2.2492617,53.4815059
8000,-2.2499108,53.4815063
7999,-2.2499987,53.4815135
8001,-2.2499993,53.4815238
7998,-2.250065,53.4815317
5109,-2.2482419,53.4816075
13171,-2.24755,53.481653
8004,-2.2487235,53.4816588
5108,-2.2490982,53.4816653
8003,-2.2492545,53.4816658
5106,-2.2493389,53.4816659
3327,-2.2472685,53.4816663
5107,-2.249176,53.4816675
5105,-2.2495709,53.4816734
7759,-2.2471755,53.481783
5124,-2.2471254,53.4818809
5121,-2.2470445,53.4819352
5122,-2.2470876,53.4819452
5123,-2.2471308,53.4819544
11103,-2.2524971,53.4814945
5307,-2.2529087,53.4820599
10501,-2.2533851,53.4822728
10065,-2.2534709,53.482344
4849,-2.2535922,53.4824307
6284,-2.2537961,53.4824513
12063,-2.2538611,53.4825108
12073,-2.2536613,53.4825111
5019,-2.2512725,53.4825437
797,-2.2542422,53.4825517
535,-2.2469459,53.482087
5113,-2.2475727,53.4821959
5112,-2.2476936,53.482232
5111,-2.2479273,53.4822898
545,-2.2472401,53.4823004
7613,-2.2468078,53.482308
7490,-2.2483015,53.4823692
7491,-2.2484162,53.4823923
7483,-2.2481044,53.4824068
7492,-2.2485261,53.4824202
7493,-2.2486549,53.482447
7482,-2.2480696,53.4824573
544,-2.2471348,53.4824695
7494,-2.2487595,53.4824721
7495,-2.2488674,53.4824929
7481,-2.2480433,53.4824962
