,0
968,0.29
969,0.29
970,0.27
971,0.29
972,0.27
973,0.14
974,0.0
975,0.0
976,0.27
977,0.27
978,0.29
979,0.29
980,0.14
981,0.14
982,0.14
983,0.27
984,0.0
985,0.27
986,0.27
987,0.27
988,0.27
989,0.29
990,0.27
991,0.29
992,0.27
993,0.14
994,0.27
995,0.27
996,0.27
997,0.27
998,0.29
999,0.29
1000,0.14
1001,0.0
1002,0.0
1003,0.14
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.29
1011,0.27
1012,0.27
1013,0.29
1014,0.02
1015,0.02
1016,0.27
1017,0.27
1018,0.27
1019,0.27
1020,0.27
1021,0.29
1022,0.27
1023,0.27
1024,0.29
1025,0.29
1026,0.29
1027,0.29
1028,0.29
1029,0.29
1030,0.29
1031,0.29
1032,0.29
1033,0.29
1034,0.27
1035,0.29
1036,0.17
1037,0.17
1038,0.27
1039,0.27
1040,0.29
1041,0.29
1042,0.27
1043,0.27
1044,0.27
1045,0.27
1046,0.29
1047,0.27
1048,0.14
1049,0.27
1050,0.14
1051,0.27
1052,0.29
1053,0.29
1054,0.27
1055,0.29
1056,0.02
1057,0.02
1058,0.27
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.29
1081,0.29
1082,0.29
1083,0.27
1084,0.0
1085,0.29
1086,0.0
1087,0.27
1088,0.0
1089,0.0
1090,0.0
1091,0.14
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.27
1101,0.27
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.27
1107,0.0
1108,0.27
1109,0.14
1110,0.29
1111,0.27
1112,0.02
1113,0.27
1114,0.29
1115,0.29
1116,0.29
1117,0.29
1118,0.14
1119,0.27
1120,0.29
1121,0.27
1122,0.27
1123,0.14
1124,0.02
1125,0.14
1126,0.27
1127,0.29
1128,0.29
1129,0.27
1130,0.29
1131,0.27
1132,0.29
1133,0.02
1134,0.29
1135,0.0
1136,0.02
1137,0.29
1138,0.27
1139,0.27
1140,0.29
1141,0.29
1142,0.27
1143,0.29
1144,0.29
1145,0.29
1146,0.29
1147,0.27
1148,0.29
1149,0.29
1150,0.08
1151,0.27
1152,0.0
1153,0.27
1154,0.27
1155,0.02
1156,0.29
1157,0.29
1158,0.0
1159,0.29
1160,0.27
1161,0.0
1162,0.29
1163,0.14
1164,0.27
1165,0.14
1166,0.14
1167,0.14
1168,0.14
1169,0.14
1170,0.02
1171,0.29
1172,0.29
1173,0.14
1174,0.0
1175,0.14
1176,0.29
1177,0.27
1178,0.08
1179,0.27
1180,0.29
1181,0.27
1182,0.29
1183,0.27
1184,0.14
1185,0.17
1186,0.0
1187,0.17
1188,0.29
1189,0.29
1190,0.29
1191,0.29
1192,0.29
1193,0.0
1194,0.0
1195,0.0
1196,0.14
1197,0.27
1198,0.17
1199,0.02
1200,0.27
1201,0.27
1202,0.02
1203,0.27
1204,0.02
1205,0.27
1206,0.02
1207,0.29
1208,0.14
1209,0.27
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.14
1219,0.0
1220,0.0
1221,0.02
1222,0.17
1223,0.29
1224,0.29
1225,0.0
1226,0.29
1227,0.08
1228,0.29
1229,0.27
1230,0.14
1231,0.14
1232,0.29
1233,0.29
1234,0.29
1235,0.29
1236,0.27
1237,0.29
1238,0.27
1239,0.27
1240,0.27
1241,0.29
1242,0.08
1243,0.27
1244,0.29
1245,0.29
1246,0.29
1247,0.0
1248,0.27
1249,0.27
1250,0.08
1251,0.27
1252,0.0
1253,0.29
1254,0.29
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.27
1261,0.29
1262,0.14
1263,0.27
1264,0.29
1265,0.29
1266,0.27
1267,0.29
1268,0.29
1269,0.29
1270,0.27
1271,0.0
1272,0.0
1273,0.27
1274,0.17
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.17
1280,0.27
1281,0.14
1282,0.14
1283,0.14
1284,0.17
1285,0.27
1286,0.27
1287,0.14
1288,0.27
1289,0.29
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.08
1311,0.27
1312,0.27
1313,0.29
1314,0.29
1315,0.29
1316,0.27
1317,0.27
1318,0.29
1319,0.27
1320,0.0
1321,0.29
1322,0.14
1323,0.0
1324,0.27
1325,0.29
1326,0.27
1327,0.14
1328,0.14
1329,0.14
1330,0.14
1331,0.14
1332,0.14
1333,0.29
1334,0.29
1335,0.02
1336,0.27
1337,0.29
1338,0.27
1339,0.27
1340,0.29
1341,0.29
1342,0.29
1343,0.27
1344,0.29
1345,0.29
1346,0.29
1347,0.29
1348,0.27
1349,0.02
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.27
1360,0.27
1361,0.29
1362,0.27
1363,0.0
1364,0.27
1365,0.29
1366,0.29
1367,0.27
1368,0.29
1369,0.17
1370,0.29
1371,0.29
1372,0.02
1373,0.29
1374,0.29
1375,0.02
1376,0.27
1377,0.27
1378,0.29
1379,0.27
1380,0.29
1381,0.27
1382,0.27
1383,0.14
1384,0.14
1385,0.0
1386,0.02
1387,0.17
1388,0.17
1389,0.27
1390,0.29
1391,0.27
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.27
1397,0.27
1398,0.27
1399,0.27
1400,0.0
