,long,lat
31031,4.4799564,51.8923875
27567,4.479431,51.8979884
27566,4.4794785,51.8979981
27579,4.479494,51.8980031
27565,4.4797256,51.8980509
27564,4.4797762,51.8980626
27580,4.4797901,51.8980661
27563,4.4814928,51.8984261
27562,4.4815435,51.8984349
30344,4.4629099,51.8751312
31090,4.4597513,51.8752643
31091,4.4597378,51.8752667
31093,4.4606818,51.8754819
31092,4.4606693,51.8754847
2731,4.4628797,51.8755829
31088,4.459994,51.8755867
31089,4.4600101,51.8755925
2539,4.4628793,51.8756009
24136,4.4584916,51.8772911
30343,4.4671056,51.8748371
26768,4.4673624,51.8748579
2725,4.468027,51.8752728
27306,4.4682177,51.8766111
31087,4.4669208,51.8786961
31086,4.4669208,51.8787045
31083,4.4655697,51.8789192
31082,4.4655597,51.8789238
31081,4.4655858,51.8789291
43018,4.4665829,51.8790269
43017,4.4666051,51.8790732
30013,4.4657472,51.8791974
43020,4.4657736,51.8792162
43019,4.4659085,51.8792173
30012,4.4658017,51.8792393
31085,4.4667921,51.8792546
31084,4.4667818,51.8792567
8243,4.4668644,51.8819271
31326,4.4665598,51.8827569
30098,4.4665119,51.8833106
31051,4.4632725,51.8776839
32786,4.4593534,51.8839618
30100,4.4630643,51.8850707
27450,4.461501,51.8851761
41602,4.4571138,51.8854115
2516,4.4568609,51.8857287
32785,4.4604664,51.8860501
18522,4.4607711,51.886121
18521,4.4611868,51.8867894
30016,4.4626717,51.8880166
29999,4.4674826,51.8833877
1499,4.4674361,51.8834494
25212,4.4640402,51.8844897
30099,4.4654833,51.8853362
30101,4.4663557,51.8873714
29904,4.4655685,51.8875627
24085,4.4650593,51.8875982
30096,4.4677645,51.8892535
2538,4.4647625,51.8899978
32783,4.4648072,51.8905463
24114,4.4531435,51.8769281
41271,4.4515068,51.8772891
30918,4.4544577,51.8808805
2744,4.4495162,51.882686
30574,4.4565196,51.9011555
30573,4.4564579,51.9011563
30575,4.4565746,51.9011572
30576,4.4542424,51.9012051
30577,4.454233,51.9012432
30578,4.4542249,51.9012788
32784,4.464782,51.8905545
30106,4.4647592,51.89056
8240,4.4641121,51.8905759
32781,4.4647056,51.8905793
32782,4.4646815,51.8905871
8242,4.4639793,51.8906093
43021,4.4669093,51.8916143
37316,4.4648643,51.8921679
8241,4.4644395,51.8923549
8239,4.4645812,51.8925443
30015,4.4621388,51.8881276
37317,4.4628524,51.8881291
30931,4.4585935,51.8884424
18055,4.4626127,51.8942951
30088,4.461528,51.8948957
30021,4.4619176,51.8950236
43012,4.4620271,51.8950935
38826,4.4629973,51.895139
43014,4.4592851,51.8953711
30022,4.4590321,51.8955547
29888,4.4669105,51.8925656
30017,4.4643398,51.892572
30018,4.4650876,51.8925781
18526,4.464495,51.8925785
43009,4.4650634,51.8925847
43008,4.4646271,51.8925862
30020,4.4650344,51.8925904
30092,4.466667,51.8926631
30090,4.4648912,51.8926932
30091,4.4667984,51.8928198
43022,4.4666263,51.8929654
30019,4.4666103,51.8929734
29889,4.4667117,51.893046
43011,4.466432,51.8931263
24940,4.466361,51.8931786
43010,4.4655345,51.8932695
29905,4.4656481,51.8933145
31456,4.4656139,51.8933869
30028,4.468198,51.893545
38825,4.4663219,51.8936046
30040,4.4725816,51.8906863
29998,4.4736279,51.8907181
29997,4.4736586,51.8907718
30037,4.4728732,51.8908882
30038,4.4726645,51.8909284
31079,4.4731505,51.8909759
30036,4.4729805,51.8909809
31078,4.4729462,51.8911226
30039,4.4727807,51.8911253
29996,4.4739394,51.8911286
30035,4.4699764,51.8916563
41679,4.4703472,51.8918468
41681,4.4694518,51.892162
30094,4.4708761,51.8922668
48240,4.4691986,51.8922754
18520,4.4686194,51.8923094
41680,4.4710727,51.8923182
30029,4.4703354,51.8923301
30030,4.4711314,51.892354
30024,4.4701634,51.8924041
29994,4.4739891,51.8912565
30033,4.4731748,51.891392
28541,4.4724444,51.8917221
31077,4.473858,51.891928
31076,4.4738722,51.891929
30034,4.471571,51.892156
31068,4.4733056,51.8930276
31069,4.4721722,51.8939474
31070,4.4722936,51.89403
31073,4.4715148,51.8941924
10277,4.4743967,51.8909853
29995,4.4763822,51.8919014
18544,4.4757847,51.892087
31067,4.4748124,51.8923975
30244,4.4747984,51.8927851
38444,4.4750889,51.8935127
23357,4.4755596,51.8975587
27578,4.475365,51.8975992
21389,4.4749692,51.8979149
30974,4.4753913,51.8979233
30023,4.4705995,51.8926317
30093,4.4694742,51.8930235
30027,4.46884,51.8931452
18527,4.4691415,51.8934186
30876,4.4708834,51.8934941
18525,4.4685544,51.8937799
30809,4.4702263,51.8945942
50094,4.4690197,51.8956261
30097,4.4689759,51.8957768
30084,4.4690737,51.8963492
31074,4.4715212,51.8941972
31075,4.4715135,51.8941988
31072,4.471659,51.8942869
31071,4.4716616,51.894292
7773,4.4740568,51.8975666
28744,4.4729928,51.8978168
35909,4.473588,51.897827
7774,4.4721792,51.8980002
8637,4.4718673,51.8981331
21397,4.4740616,51.8981806
30085,4.4690796,51.8963775
30086,4.4691546,51.8966778
30087,4.4691596,51.8967053
9030,4.4690215,51.8970967
30140,4.4699282,51.8971435
29901,4.4691924,51.8971735
