,0
949,0.0
950,0.14
951,0.02
952,0.29
953,0.0
954,0.02
955,0.02
956,0.02
957,0.02
958,0.0
959,0.0
960,0.0
961,0.27
962,0.29
963,0.27
964,0.27
965,0.27
966,0.27
967,0.27
968,0.02
969,0.02
970,0.29
971,0.29
972,0.29
973,0.02
974,0.29
975,0.29
976,0.0
977,0.08
978,0.29
979,0.27
980,0.29
981,0.27
982,0.27
983,0.0
984,0.29
985,0.27
986,0.29
987,0.27
988,0.02
989,0.27
990,0.08
991,0.29
992,0.29
993,0.27
994,0.27
995,0.27
996,0.27
997,0.29
998,0.29
999,0.29
1000,0.27
1001,0.29
1002,0.0
1003,0.27
1004,0.27
1005,0.17
1006,0.0
1007,0.02
1008,0.02
1009,0.0
1010,0.27
1011,0.02
1012,0.29
1013,0.0
1014,0.0
1015,0.29
1016,0.0
1017,0.27
1018,0.29
1019,0.27
1020,0.0
1021,0.0
1022,0.27
1023,0.17
1024,0.0
1025,0.0
1026,0.27
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.08
1032,0.29
1033,0.0
1034,0.0
1035,0.08
1036,0.0
1037,0.0
1038,0.29
1039,0.0
1040,0.02
1041,0.27
1042,0.29
1043,0.27
1044,0.29
1045,0.0
1046,0.29
1047,0.27
1048,0.29
1049,0.29
1050,0.27
1051,0.29
1052,0.0
1053,0.29
1054,0.17
1055,0.29
1056,0.27
1057,0.27
1058,0.29
1059,0.08
1060,0.0
1061,0.29
1062,0.14
1063,0.08
1064,0.08
1065,0.08
1066,0.27
1067,0.27
1068,0.29
1069,0.08
1070,0.29
1071,0.14
1072,0.29
1073,0.29
1074,0.02
1075,0.27
1076,0.08
1077,0.29
1078,0.08
1079,0.0
1080,0.0
1081,0.27
1082,0.08
1083,0.08
1084,0.29
1085,0.29
1086,0.29
1087,0.0
1088,0.29
1089,0.29
1090,0.02
1091,0.14
1092,0.14
1093,0.0
1094,0.29
1095,0.29
1096,0.08
1097,0.27
1098,0.14
1099,0.0
1100,0.17
1101,0.29
1102,0.29
1103,0.29
1104,0.27
1105,0.29
1106,0.27
1107,0.29
1108,0.29
1109,0.08
1110,0.29
1111,0.08
1112,0.27
1113,0.29
1114,0.29
1115,0.29
1116,0.08
1117,0.29
1118,0.29
1119,0.29
1120,0.0
1121,0.27
1122,0.29
1123,0.29
1124,0.27
1125,0.29
1126,0.27
1127,0.29
1128,0.02
1129,0.29
1130,0.29
1131,0.29
1132,0.29
1133,0.29
1134,0.27
1135,0.29
1136,0.27
1137,0.29
1138,0.02
1139,0.27
1140,0.02
1141,0.0
1142,0.27
1143,0.27
1144,0.27
1145,0.27
1146,0.27
1147,0.27
1148,0.29
1149,0.27
1150,0.27
1151,0.27
1152,0.27
1153,0.29
1154,0.02
1155,0.27
1156,0.27
1157,0.27
1158,0.0
1159,0.17
1160,0.02
1161,0.27
1162,0.27
1163,0.29
1164,0.02
1165,0.29
1166,0.29
1167,0.29
1168,0.17
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.17
1181,0.27
1182,0.29
1183,0.0
1184,0.0
1185,0.17
1186,0.0
1187,0.0
1188,0.0
1189,0.17
1190,0.29
1191,0.29
1192,0.29
1193,0.29
1194,0.29
