,longitud,latitud
40619,-3.7396864,40.3363746
42673,-3.7412698,40.3366704
42674,-3.7410989,40.3367342
49728,-3.7396129,40.3367816
39871,-3.7401121,40.336938
20825,-3.738471,40.3376721
34251,-3.741243,40.3377
34250,-3.7405748,40.3378205
10388,-3.7385341,40.3379889
30533,-3.7523014,40.3361753
41861,-3.7574565,40.3363259
30532,-3.7559811,40.3367062
30536,-3.7556525,40.3367452
30531,-3.75591,40.3368154
24342,-3.7546215,40.3372642
30530,-3.7542073,40.3375093
593,-3.754397,40.3386687
41864,-3.7565177,40.3391769
1024,-3.7545506,40.3393764
34249,-3.7405646,40.3380283
40257,-3.738007,40.3380338
42675,-3.7415718,40.3380787
5668,-3.7325758,40.3382471
7690,-3.7336694,40.3384394
10389,-3.7389498,40.3388946
13096,-3.7340165,40.338931
16219,-3.7362688,40.3390019
39873,-3.7361359,40.3390129
30570,-3.732819,40.3391824
42575,-3.7455912,40.3374388
1057,-3.7486213,40.3379748
44751,-3.7506225,40.3380748
41829,-3.7480337,40.3383227
42682,-3.7455265,40.33885
44755,-3.7502609,40.3391378
41830,-3.7459349,40.3395299
2178,-3.7463405,40.3397782
26466,-3.7482616,40.3418786
41335,-3.7506067,40.342269
1113,-3.7428571,40.342361
25463,-3.7502689,40.3424273
25462,-3.7501511,40.3424301
30907,-3.7488093,40.3424621
25443,-3.7503031,40.3428312
1791,-3.750931,40.3428339
25444,-3.7498961,40.342839
25445,-3.7496263,40.3428455
25446,-3.749456,40.3428497
25448,-3.7492901,40.3428537
41053,-3.7537202,40.3423687
8323,-3.7565596,40.3424801
24831,-3.7512499,40.3428166
24250,-3.7519499,40.3445572
24251,-3.7519554,40.3447142
24252,-3.7519579,40.3447885
24253,-3.7519624,40.3449001
24254,-3.7519655,40.3449675
24255,-3.7519684,40.3450276
24256,-3.7519743,40.3451536
25447,-3.7490466,40.3428553
6532,-3.748355,40.3428746
1561,-3.7461469,40.3428787
1549,-3.7505372,40.3445954
34874,-3.750549,40.3449844
34875,-3.750552,40.3450712
53818,-3.7451965,40.3541179
26921,-3.7449247,40.3545399
37147,-3.7422743,40.3559346
37103,-3.7458851,40.3581456
39872,-3.736101,40.3392433
51996,-3.733812,40.3392939
5666,-3.7349604,40.3393655
2839,-3.7367011,40.3402443
5665,-3.7340871,40.3404658
36719,-3.733468,40.3491888
8084,-3.7382207,40.3630416
20185,-3.7397976,40.3631157
20184,-3.7399272,40.3631356
20183,-3.7399272,40.3631356
8261,-3.7553487,40.3469875
1915,-3.755932,40.3605286
1786,-3.7560316,40.3613576
8422,-3.7560452,40.3614872
8429,-3.7562866,40.3614934
25273,-3.7532901,40.3617842
8440,-3.7517241,40.3618061
8428,-3.7562517,40.3618142
8436,-3.7520783,40.3618592
8439,-3.752856,40.3618878
37102,-3.7458283,40.3581546
37101,-3.7455434,40.3581995
37100,-3.7454703,40.3582111
37099,-3.745401,40.358222
37098,-3.7452608,40.3582441
37097,-3.7451859,40.3582559
37096,-3.7450977,40.3582698
46567,-3.7454623,40.3606217
8441,-3.7504447,40.3619593
8442,-3.75008,40.3620533
25271,-3.7598184,40.3602333
17268,-3.7598499,40.3612522
