,long,lat
20117,9.9705588,53.5459583
20118,9.9705958,53.5459589
20119,9.9706022,53.5459727
20120,9.9705725,53.5459771
19454,9.970627,53.5459773
30819,9.9706933,53.546082
1342,9.9772139,53.5457799
1404,9.97533,53.5457976
30865,9.9765745,53.5458427
30878,9.9766461,53.5458598
30877,9.9765393,53.5458763
1409,9.9762129,53.5458858
1406,9.975904,53.5459028
16125,9.9751886,53.5459601
1403,9.9752488,53.5460212
25917,9.9752637,53.5460408
35169,9.9724682,53.5459024
1394,9.9729233,53.5459198
17034,9.9746588,53.5459212
17033,9.9747366,53.5459388
17038,9.974868,53.5459643
17036,9.9749485,53.5459802
16158,9.9749291,53.5461018
20233,9.9726638,53.5462142
16744,9.9733221,53.546298
1400,9.9733162,53.5463202
16126,9.9761408,53.5460462
1392,9.9764785,53.5460741
37147,9.9754682,53.5460764
37148,9.975476,53.5460869
1408,9.9756454,53.5460974
1407,9.975869,53.546143
1410,9.9769651,53.5461603
13453,9.9760896,53.5461875
25916,9.9773174,53.546216
25915,9.9774425,53.5462245
34685,9.9712421,53.54612
34686,9.9714252,53.5461316
150,9.9705894,53.5461636
149,9.9710846,53.5461805
34684,9.9710751,53.5461806
34688,9.9713715,53.5462017
34687,9.9714493,53.5462065
34683,9.9710067,53.5462754
36623,9.9690132,53.5462925
34690,9.9714755,53.5462989
34689,9.9714533,53.5463101
36625,9.9688797,53.5463628
34682,9.9712642,53.5464236
34681,9.9712515,53.5464336
6385,9.9690109,53.5465032
11438,9.9690988,53.5465083
14003,9.9690756,53.5467278
17446,9.969359,53.5467367
2943,9.9718667,53.5467463
102,9.9694831,53.5468423
14060,9.9762693,53.5462381
23431,9.976371,53.5462629
17462,9.9764773,53.5462738
13316,9.9760745,53.5466277
16131,9.9772341,53.5467916
5684,9.9763985,53.5468639
5685,9.9767258,53.5468768
17017,9.9750434,53.5470636
10969,9.9753354,53.547086
25913,9.9760745,53.5471103
27725,9.985199,53.5449425
27724,9.9848104,53.545121
24103,9.9850957,53.5454809
36885,9.9840358,53.5455208
18419,9.9849264,53.5455824
540,9.9839688,53.5457196
26616,9.9844483,53.5459364
18418,9.9852117,53.5459743
18048,9.9853038,53.547018
30237,9.9842644,53.5474832
27727,9.9829844,53.5452832
27728,9.9831852,53.5453521
27729,9.9832227,53.5454432
27730,9.9828635,53.5455088
29270,9.982543,53.5457665
32095,9.9831474,53.5466299
26166,9.982953,53.5467789
12483,9.9825835,53.5472618
12480,9.9827713,53.5475073
12482,9.9828945,53.547697
3875,9.9865367,53.547631
32479,9.9866591,53.5488729
6,9.9856645,53.5491978
20799,9.9854472,53.5492331
20798,9.9853262,53.5494123
5676,9.9862078,53.5494206
5876,9.9863582,53.5495736
3129,9.98653,53.5496437
20167,9.9862503,53.5496544
20168,9.9862719,53.5496578
2822,9.9830542,53.5478776
2823,9.9827795,53.5478991
2824,9.9821122,53.5480941
21496,9.9828572,53.5487622
13372,9.9822782,53.5490969
35523,9.9821679,53.5491011
35522,9.9825666,53.5493791
22916,9.9830142,53.5494365
22915,9.9833934,53.5494809
34572,9.9834276,53.5494834
9424,9.9851133,53.5484977
1903,9.984656,53.5486707
16729,9.9847618,53.548792
1934,9.9848297,53.5489709
2827,9.9850662,53.5491812
2826,9.9848943,53.5492265
29407,9.9847946,53.5492482
2825,9.984733,53.5492719
12478,9.9836377,53.549527
21957,9.9836525,53.549529
24267,9.982568,53.5496879
10262,9.9833116,53.5502524
12849,9.982139,53.5502564
12848,9.9822637,53.5502564
12940,9.9830731,53.5503685
30022,9.9827578,53.5504125
19511,9.9824699,53.5504537
9423,9.9820739,53.5504572
16238,9.9821161,53.55047
3533,9.9835122,53.5505293
2714,9.9866348,53.5496995
5371,9.986583,53.5497168
35673,9.986227,53.5499328
32665,9.9864502,53.5500114
30744,9.9865189,53.550047
12466,9.9866467,53.5500899
34189,9.9862673,53.5500963
31443,9.9866476,53.5503889
27776,9.9861287,53.5505296
27775,9.986125,53.5505455
10980,9.9822398,53.5505441
10990,9.9822401,53.5505497
10986,9.9822404,53.5505552
19512,9.9824623,53.5505751
19514,9.9821021,53.550667
19513,9.9824506,53.5507189
15592,9.9823475,53.5507393
12594,9.9820964,53.5508433
3228,9.9823804,53.5508627
3229,9.9820722,53.5510423
37207,9.986302,53.5507276
27774,9.9860866,53.5507323
27773,9.9860829,53.5507483
14883,9.9860666,53.5507741
14885,9.9860569,53.5507861
14884,9.9860456,53.5507959
23860,9.9866459,53.5508178
23859,9.9866459,53.5508178
26536,9.9855677,53.5509079
33601,9.9858533,53.5509479
27763,9.9838619,53.5499551
24138,9.9838918,53.5500892
4397,9.9837276,53.5502195
