count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
81152,2016,5,North West,85,Manchester,A5067,Major,Princess Road,Mancunian Way,384050,396920,53.46877394,-2.24173951,0.60,0.37,Estimated,Estimated using previous year's AADF on this link,500,21,6948,22,1037,30,12,6,1,0,1,50,8078
75237,2016,5,North West,85,Manchester,M60,Major,M60 main route,A5103,382250,390750,53.41325756,-2.26850431,0.80,0.50,Estimated,Estimated from nearby links,0,181,52293,81,9261,1102,309,311,93,406,1381,3602,65418
75238,2016,5,North West,85,Manchester,M60,Major,M60 main route,A5103,382750,390830,53.41399333,-2.26098658,1.00,0.62,Estimated,Estimated from nearby links,0,61,17859,21,2946,444,75,120,33,74,281,1025,21912
57427,2018,5,North West,85,Manchester,A664,Major,A6,A665,384300,398740,53.48513900,-2.23806520,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,111,37,6632,1057,854,102,10,1,4,2,1,120,8701
46068,2018,5,North West,85,Manchester,A57M,Major,A57,A5103,383300,397160,53.47090600,-2.25305030,0.80,0.50,Estimated,Estimated using previous year's AADF on this link,0,576,58040,158,10751,1186,222,573,77,364,558,2980,72504
28486,2018,5,North West,85,Manchester,A34,Major,A5103,Mosley St,384110,397940,53.47794200,-2.24088760,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,300,75,6540,317,1058,101,32,10,4,0,0,147,8138
37837,2018,5,North West,85,Manchester,A6010,Major,A34,Hamilton Rd,386500,395400,53.45517900,-2.20476700,0.70,0.43,Counted,Manual count,294,43,11642,95,1287,117,46,20,2,6,3,193,13260
7948,2018,5,North West,85,Manchester,A34,Major,A6042,A56,383700,397945,53.47797500,-2.24706540,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,318,83,8073,144,1452,108,31,17,3,2,2,162,9914
80941,2016,5,North West,85,Manchester,A5103,Major,A57(M),A5067,383750,396930,53.46885459,-2.24625920,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,75,207,39544,321,5138,418,81,117,55,102,109,882,46092
73269,2018,5,North West,85,Manchester,M56,Major,LA Boundary,6,380000,384730,53.35906500,-2.30197030,1.40,0.87,Counted,Manual count,0,304,96818,374,16904,1999,386,546,420,2154,2947,8452,122852
47799,2018,5,North West,85,Manchester,A6010,Major,A5145,A5103,382000,394000,53.44246000,-2.27245230,2.90,1.80,Estimated,Estimated using previous year's AADF on this link,425,65,12366,177,1367,77,14,8,1,3,0,103,14078
57700,2018,5,North West,85,Manchester,A5103,Major,A57(M),A34,383620,397500,53.47397200,-2.24824740,1.20,0.75,Estimated,Estimated using previous year's AADF on this link,472,138,14031,444,1996,111,13,10,5,6,5,151,16759
48020,2018,5,North West,85,Manchester,A34,Major,A5184,Grosvenor St,384650,397050,53.46995900,-2.23270760,0.80,0.50,Counted,Manual count,1018,210,15740,297,1603,164,29,64,6,16,14,294,18144
17822,2018,5,North West,85,Manchester,A6042,Major,A56,A665,384000,399200,53.48926400,-2.24260970,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,94,341,26649,45,3849,434,81,146,17,95,30,803,31687
74478,2018,5,North West,85,Manchester,A57,Major,A57M,A56,382923,397359,53.47268425,-2.25874055,0.20,0.12,Estimated,Estimated from nearby links,464,79,9771,35,1649,193,33,71,19,56,46,417,11951
46165,2018,5,North West,85,Manchester,A6,Major,A57(M),A6 Whitworth St,384730,397800,53.47670200,-2.23153910,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,223,63,14282,980,2273,114,18,6,0,1,2,140,17739
57780,2018,5,North West,85,Manchester,A5145,Major,A6010,A5103,382000,393060,53.43401100,-2.27239820,3.10,1.93,Counted,Manual count,332,68,15260,376,1811,187,25,20,1,2,2,238,17753
75245,2018,5,North West,85,Manchester,A5103,Major,Princess Rd,Mancunian Way roundabout,383899,397097,53.47035900,-2.24402330,0.60,0.37,Estimated,Estimated using previous year's AADF on this link,24,78,21132,236,3010,286,50,43,24,33,149,584,25040
47322,2018,5,North West,85,Manchester,A576,Major,A665,A6044,383580,403000,53.52340700,-2.24914000,1.50,0.93,Counted,Manual count,99,111,20064,275,2505,178,34,37,15,37,40,341,23295
26157,2018,5,North West,85,Manchester,A6,Major,A57,A57(M),384950,397300,53.47221500,-2.22820030,0.70,0.43,Counted,Manual count,491,224,14566,1585,2380,161,85,80,18,109,48,502,19256
17933,2018,5,North West,85,Manchester,A576,Major,A6044,A6104,383800,403800,53.53060400,-2.24586340,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,90,245,36641,174,5382,371,82,186,41,108,62,850,43293
73794,2018,5,North West,85,Manchester,A5145,Major,LA Boundary,A6010,380784,394095,53.44327000,-2.29076440,0.40,0.25,Estimated,Estimated using previous year's AADF on this link,754,52,16281,240,2055,116,9,7,6,3,6,147,18775
17935,2018,5,North West,85,Manchester,A665,Major,A6042,A6042,384130,399100,53.48836900,-2.24064540,0.20,0.12,Counted,Manual count,274,229,24651,336,3345,368,87,116,13,31,34,649,29210
56582,2018,5,North West,85,Manchester,A57,Major,A665,A6010,386950,396580,53.46579700,-2.19803980,1.30,0.81,Estimated,Estimated using previous year's AADF on this link,230,135,14198,417,2930,200,65,80,29,48,53,475,18156
74457,2016,5,North West,85,Manchester,A5103,Major,A560,M56,382239,389320,53.40040371,-2.26858874,0.30,0.19,Estimated,Estimated from nearby links,46,71,19939,133,2159,199,55,43,13,51,226,587,22889
74555,2016,5,North West,85,Manchester,A6042,Major,A34,St Ann Street,383840,398270,53.48090178,-2.24497288,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,402,32,2658,797,808,88,28,2,2,1,0,120,4415
75243,2018,5,North West,85,Manchester,A57M,Major,A5103,A34,384300,397240,53.47165600,-2.23798960,0.50,0.31,Estimated,Estimated using previous year's AADF on this link,0,415,73937,191,12105,1223,245,644,128,696,387,3324,89972
83048,2018,5,North West,85,Manchester,A665,Major,A664,A6042,384300,398950,53.48702600,-2.23807580,0.30,0.19,Estimated,Estimated using previous year's AADF on this link,97,99,13317,20,1920,208,34,44,9,17,13,324,15680
17933,2016,5,North West,85,Manchester,A576,Major,A6044,A6104,383800,403800,53.53060592,-2.24586337,0.50,0.31,Counted,Manual count,149,183,32436,180,4170,317,61,103,29,62,49,621,37590
74457,2018,5,North West,85,Manchester,A5103,Major,A560,M56,382239,389320,53.40040371,-2.26858874,0.30,0.19,Estimated,Estimated from nearby links,2,53,17631,117,2634,212,53,67,20,110,197,659,21094
944427,2016,5,North West,85,Manchester,C,Minor,,,385870,391594,53.42095397,-2.21408204,,,Counted,Manual count,179,17,8384,104,827,50,5,4,1,0,0,60,9393
944452,2016,5,North West,85,Manchester,U,Minor,,,387738,398683,53.48472007,-2.18625309,,,Counted,Manual count,9,4,276,0,70,4,3,0,0,0,0,7,356
944466,2016,5,North West,85,Manchester,U,Minor,,,381115,388131,53.38967718,-2.28542180,,,Counted,Manual count,30,4,247,0,20,4,0,0,0,0,0,4,274
944403,2016,5,North West,85,Manchester,B5093,Minor,,,386091,393927,53.44192994,-2.21086053,,,Estimated,Estimated using previous year's AADF on this link,232,127,13283,105,1643,98,28,5,8,4,8,152,15309
944439,2016,5,North West,85,Manchester,U,Minor,,,386425,397788,53.47664296,-2.20600046,,,Counted,Manual count,55,12,2415,6,357,74,2,3,2,0,0,80,2870
944453,2016,5,North West,85,Manchester,U,Minor,,,382720,387582,53.38479781,-2.26125886,,,Counted,Manual count,118,21,2606,84,403,8,1,0,0,0,0,9,3124
944472,2016,5,North West,85,Manchester,U,Minor,,,386374,403820,53.53085930,-2.20703320,,,Counted,Manual count,2,0,62,0,11,0,0,0,0,0,0,0,73
27992,2018,5,North West,85,Manchester,A56,Major,A6,A6,383780,398600,53.48386400,-2.24589410,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,256,59,11263,1018,1901,262,28,29,5,5,2,331,14572
17929,2016,5,North West,85,Manchester,A34,Major,Upper Brook St,A5103,384180,397400,53.47309231,-2.23980555,1.00,0.62,Estimated,Estimated using previous year's AADF on this link,454,68,8256,2656,1090,93,20,9,1,1,3,126,12196
17936,2016,5,North West,85,Manchester,A6010,Major,A665,LA Boundary,384000,400429,53.50031253,-2.24267283,1.20,0.75,Estimated,Estimated using previous year's AADF on this link,41,79,10121,50,2473,223,37,85,6,10,12,374,13098
99014,2018,5,North West,85,Manchester,A6010,Major,A57,A635,387200,397020,53.46975800,-2.19429220,1.00,0.62,Estimated,Estimated using previous year's AADF on this link,216,164,21630,134,3651,465,103,104,22,69,80,843,26422
75239,2018,5,North West,85,Manchester,A635,Major,Mancunian Way,Chancellor Lane,385650,397640,53.47529000,-2.21767040,0.20,0.12,Counted,Manual count,205,128,14030,216,2669,290,70,110,29,126,80,704,17747
75248,2018,5,North West,85,Manchester,A664,Major,Swan St,Addington St,384470,398900,53.48658200,-2.23551130,0.10,0.06,Counted,Manual count,194,60,8365,1001,851,139,16,46,12,7,9,229,10505
27782,2018,5,North West,85,Manchester,A5184,Major,A34,A6,386150,396000,53.46056300,-2.21006430,1.60,0.99,Estimated,Estimated using previous year's AADF on this link,391,57,8849,128,790,36,5,8,2,1,0,52,9877
56493,2018,5,North West,85,Manchester,A34,Major,A6010,A5184,385380,396000,53.46054200,-2.22166130,1.70,1.06,Estimated,Estimated using previous year's AADF on this link,676,171,16649,321,1611,74,25,19,3,7,3,132,18883
74555,2018,5,North West,85,Manchester,A6042,Major,A34,St Ann Street,383840,398270,53.48090000,-2.24497290,0.20,0.12,Estimated,Estimated using previous year's AADF on this link,425,32,2610,675,866,89,28,2,2,1,0,121,4304
80943,2018,5,North West,85,Manchester,A5067,Major,A5067,A5103,383360,396700,53.46677300,-2.25212190,0.90,0.56,Estimated,Estimated using previous year's AADF on this link,859,79,9100,351,1112,66,10,12,0,1,2,92,10734
944479,2018,5,North West,85,Manchester,U,Minor,,,386448,402208,53.51637000,-2.20584650,,,Counted,Manual count,31,6,968,1,135,0,0,0,0,0,0,0,1111
17675,2016,5,North West,85,Manchester,A5103,Major,A5145,A6010,383647,393000,53.43352699,-2.24760504,2.20,1.37,Counted,Manual count,430,208,41805,576,4689,330,55,73,43,103,84,688,47965
70156,2016,5,North West,85,Manchester,A62,Major,Lever St,A665 Newton St,384750,398600,53.48389529,-2.23127695,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,207,267,28945,810,4935,382,66,53,28,37,115,682,35640
80944,2018,5,North West,85,Manchester,A5067,Major,LA Boundary,A5067,382930,396560,53.46550100,-2.25859140,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,330,45,9457,421,1473,111,22,26,2,2,11,174,11570
77049,2018,5,North West,85,Manchester,A62,Major,A62 Lever St,A665 Swan St,384700,398640,53.48425200,-2.23203240,0.10,0.06,Estimated,Estimated using previous year's AADF on this link,219,267,28416,686,5293,383,66,53,30,38,125,696,35357
17931,2016,5,North West,85,Manchester,A57,Major,A6010,LA Boundary,387800,396300,53.46330218,-2.18522535,3.10,1.93,Estimated,Estimated using previous year's AADF on this link,174,195,19452,477,4189,399,93,168,49,118,97,925,25239
951806,2016,5,North West,85,Manchester,C,Minor,,,384315,395200,53.45332194,-2.23766113,,,Counted,Manual count,205,6,5746,3,558,54,12,1,0,1,0,67,6380
